"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que um utilizador convidado consegue regressar à página inicial e ver os modos de jogo disponíveis.","2989","userStory16ReturnToHomeAndViewGameModesSelenideTest()","","2026-05-17","passed","2026-05-17","","testsuiteSelenide_110772.tests.GuestHomeNavigationSelenideTest","testsuiteSelenide_110772.tests.GuestHomeNavigationSelenideTest","userStory16ReturnToHomeAndViewGameModesSelenideTest"
"Valida que um utilizador convidado consegue abrir a janela/lista completa do ranking diário.","4053","userStory15OpenDailyLeaderboardSelenideTest()","","2026-05-17","passed","2026-05-17","","testsuiteSelenide_110772.tests.LeaderboardSelenideTest","testsuiteSelenide_110772.tests.LeaderboardSelenideTest","userStory15OpenDailyLeaderboardSelenideTest"
"Valida que um utilizador convidado consegue aceder à página de criação de competição.","2653","userStory13CreateTournamentSelenideTest()","","2026-05-17","passed","2026-05-17","","testsuiteSelenide_110772.tests.CreateTournamentSelenideTest","testsuiteSelenide_110772.tests.CreateTournamentSelenideTest","userStory13CreateTournamentSelenideTest"
"Valida que um utilizador convidado consegue iniciar o fluxo de jogo com um amigo e inserir nickname.","3577","userStory14CreateFriendGameSelenideTest()","","2026-05-17","passed","2026-05-17","","testsuiteSelenide_110772.tests.FriendGameSelenideTest","testsuiteSelenide_110772.tests.FriendGameSelenideTest","userStory14CreateFriendGameSelenideTest"
